obs,pi,y,i
1954_Q3,-0.364702051,-1.272951705,1.026666667
1954_Q4,0.57362623,-0.126310955,0.986666667
1955_Q1,1.536158302,1.917745794,1.343333333
1955_Q2,2.256516665,2.757789248,1.5
1955_Q3,2.759687923,3.299947679,1.94
1955_Q4,2.638319672,3.061300126,2.356666667
1956_Q1,3.969718175,1.804549965,2.483333333
1956_Q2,3.779527559,1.778360847,2.693333333
1956_Q3,4.393135725,0.827401814,2.81
1956_Q4,2.518363064,1.601289629,2.926666667
1957_Q1,4.514506533,1.363587941,2.933333333
1957_Q2,2.838600109,0.25343189,3
1957_Q3,3.107684895,0.338427186,3.233333333
1957_Q4,2.31877129,-1.566552547,3.253333333
1958_Q1,3.327391563,-4.930567461,1.863333333
1958_Q2,1.697112552,-5.113385238,0.94
1958_Q3,0.962328365,-3.735293126,1.323333333
1958_Q4,0.491716912,-2.303423375,2.163333333
1959_Q1,1.987839102,-1.32926708,2.57
1959_Q2,1.116993426,0.197173842,3.083333333
1959_Q3,1.647618495,-0.879450181,3.576666667
1959_Q4,1.548416917,-1.413404757,3.99
1960_Q1,0.805755396,-0.185362736,3.933333333
1960_Q2,1.447443998,-1.541139241,3.696666667
1960_Q3,1.80850455,-2.274649873,2.936666667
1960_Q4,1.800364631,-4.420249395,2.296666667
1961_Q1,0.453746242,-4.729293984,2.003333333
1961_Q2,0.838479406,-3.931047063,1.733333333
1961_Q3,0.881953867,-3.307750188,1.683333333
1961_Q4,0.947706888,-2.330224381,2.4
1962_Q1,2.026000338,-1.563514072,2.456666667
1962_Q2,1.097485861,-1.501124383,2.606666667
1962_Q3,0.938128211,-1.56123511,2.846666667
1962_Q4,0.935933148,-2.175157413,2.923333333
1963_Q1,1.956425078,-2.082388939,2.966666667
1963_Q2,0.309734513,-1.80895221,2.963333333
1963_Q3,0.397921963,-0.905027623,3.33
1963_Q4,2.628091873,-1.20640853,3.453333333
1964_Q1,1.513904887,-0.092489323,3.463333333
1964_Q2,1.202185792,0.070009155,3.49
1964_Q3,2.004903296,0.394445777,3.456666667
1964_Q4,1.713015667,-0.2901456,3.576666667
1965_Q1,1.72730217,1.109370921,3.973333333
1965_Q2,1.848865957,1.412816076,4.076666667
1965_Q3,1.840359512,2.379187856,4.073333333
1965_Q4,2.598785813,3.668309948,4.166666667
1966_Q1,2.455026455,5.068513703,4.556666667
1966_Q2,3.639040808,4.340191908,4.913333333
1966_Q3,3.54369691,3.930536872,5.41
1966_Q4,3.285293662,3.669658192,5.563333333
1967_Q1,1.680500051,3.483837006,4.823333333
1967_Q2,2.387755102,2.456862884,3.99
1967_Q3,3.590809961,2.236219735,3.893333333
1967_Q4,4.383231125,1.978775662,4.173333333
1968_Q1,4.375497216,2.959990829,4.786666667
1968_Q2,4.465866614,3.61462186,5.98
1968_Q3,3.852327448,3.294704218,5.943333333
1968_Q4,5.588476177,2.705586803,5.916666667
1969_Q1,4.029077778,3.266420144,6.566666667
1969_Q2,5.287172492,2.587183958,8.326666667
1969_Q3,5.701021356,2.242994689,8.983333333
1969_Q4,4.998397949,0.859837871,8.94
1970_Q1,5.515370705,-0.222570799,8.573333333
1970_Q2,5.779264214,-0.920322743,7.88
1970_Q3,3.270473427,-0.89786055,6.703333333
1970_Q4,5.214737301,-2.739160074,5.566666667
1971_Q1,6.111732805,-0.948653854,3.856666667
1971_Q2,5.358429777,-1.180894309,4.563333333
1971_Q3,4.032629157,-1.201709815,5.473333333
1971_Q4,3.296612275,-1.708102486,4.75
1972_Q1,6.522899979,-0.748001032,3.54
1972_Q2,2.408859429,0.728160117,4.3
1972_Q3,3.535414407,0.817800332,4.74
1972_Q4,4.507984549,1.619738752,5.143333333
1973_Q1,5.135071277,3.203222403,6.536666667
1973_Q2,6.562986003,3.436804988,7.816666667
1973_Q3,7.482212532,1.940138258,10.56
1973_Q4,6.924261199,1.946585543,9.996666667
1974_Q1,8.150007382,0.160863857,9.323333333
1974_Q2,8.942265953,-0.501951014,11.25
1974_Q3,12.20012738,-2.363448238,12.09
1974_Q4,12.1411894,-3.611076126,9.346666667
1975_Q1,9.037589976,-5.580532363,6.303333333
1975_Q2,5.83979665,-5.640481246,5.42
1975_Q3,7.117620608,-4.857674353,6.16
1975_Q4,6.66498359,-4.340407751,5.413333333
1976_Q1,4.308418177,-2.940211101,4.826666667
1976_Q2,4.004545036,-2.970364911,5.196666667
1976_Q3,5.108090851,-3.247857434,5.283333333
1976_Q4,6.712900417,-3.325631988,4.873333333
1977_Q1,6.413133341,-3.034761817,4.66
1977_Q2,6.288686757,-1.993933668,5.156666667
1977_Q3,5.550469215,-1.149878441,5.82
1977_Q4,6.738719418,-2.045931737,6.513333333
1978_Q1,6.693678193,-2.653212547,6.756666667
1978_Q2,7.653465076,0.158043454,7.283333333
1978_Q3,6.952702341,0.181852684,8.1
1978_Q4,8.129096796,0.611160735,9.583333333
1979_Q1,7.33765061,-0.03884702,10.07333333
1979_Q2,9.536356727,-0.709132392,10.18
1979_Q3,8.156195095,-0.726899887,10.94666667
1979_Q4,7.847702195,-1.10242686,13.57666667
1980_Q1,8.667110646,-1.311331599,15.04666667
1980_Q2,8.753346525,-3.795449073,12.68666667
1980_Q3,9.185556442,-4.410399257,9.836666667
1980_Q4,11.24201056,-3.137757383,15.85333333
1981_Q1,10.33683526,-1.699158568,16.57
1981_Q2,7.086447907,-3.005271373,17.78
1981_Q3,7.461045293,-2.519348656,17.57666667
1981_Q4,7.202216066,-4.353067627,13.58666667
1982_Q1,5.378151261,-6.649173899,14.22666667
1982_Q2,4.943536287,-6.853431008,14.51333333
1982_Q3,5.639845548,-7.898510599,11.00666667
1982_Q4,4.346070268,-8.486018717,9.286666667
1983_Q1,3.401438192,-7.962447358,8.653333333
1983_Q2,2.701224228,-6.553984612,8.803333333
1983_Q3,4.18204643,-5.432789733,9.46
1983_Q4,2.900109403,-4.218935964,9.43
1984_Q1,4.160530191,-3.081057604,9.686666667
1984_Q2,3.534663387,-2.166448989,10.55666667
1984_Q3,3.301426765,-2.005956435,11.39
1984_Q4,2.486252172,-2.046222104,9.266666667
1985_Q1,4.735286787,-1.91199065,8.476666667
1985_Q2,2.266049719,-1.861760992,7.923333333
1985_Q3,2.568184601,-1.191352049,7.9
1985_Q4,2.148518982,-1.301460144,8.103333333
1986_Q1,1.943392638,-1.237058465,7.826666667
1986_Q2,1.486630648,-1.626599238,6.92
1986_Q3,1.865121541,-1.470716647,6.206666667
1986_Q4,2.416134867,-1.778976408,6.266666667
1987_Q1,2.347354138,-1.897025621,6.22
1987_Q2,2.616935892,-1.594508076,6.65
1987_Q3,2.955070861,-1.491275735,6.843333333
1987_Q4,3.12629916,-0.652913552,6.916666667
1988_Q1,3.102054286,-0.873668695,6.663333333
1988_Q2,3.968890708,-0.342041635,7.156666667
1988_Q3,4.831309479,-0.537206526,7.983333333
1988_Q4,3.428058822,0.006968398,8.47
1989_Q1,4.072362256,0.240872211,9.443333333
1989_Q2,4.207414861,0.261917833,9.726666667
1989_Q3,2.943784911,0.24745451,9.083333333
1989_Q4,2.656616829,-0.290671474,8.613333333
1990_Q1,4.461901985,0.055915277,8.25
1990_Q2,4.121333515,-0.2919627,8.243333333
1990_Q3,3.604686092,-0.987491045,8.16
1990_Q4,3.108067877,-2.525661509,7.743333333
1991_Q1,3.964432365,-3.652585935,6.426666667
1991_Q2,2.685270502,-3.567226845,5.863333333
1991_Q3,2.882380288,-3.761711799,5.643333333
1991_Q4,2.1117009,-3.997103857,4.816666667
1992_Q1,1.836599994,-3.525654583,4.023333333
1992_Q2,2.530922387,-3.132811023,3.77
1992_Q3,1.862128674,-2.868108717,3.256666667
1992_Q4,2.768948223,-2.588929736,3.036666667
1993_Q1,2.407576289,-3.100065806,3.04
1993_Q2,2.409907397,-3.22182182,3
1993_Q3,2.040589997,-3.449009791,3.06
1993_Q4,2.256427232,-2.86079414,2.99
1994_Q1,2.073704278,-2.609547026,3.213333333
1994_Q2,1.970228268,-1.988712445,3.94
1994_Q3,2.0040189,-2.12495692,4.486666667
1994_Q4,2.264222315,-1.738934939,5.166666667
1995_Q1,2.418054809,-2.134492427,5.81
1995_Q2,1.794632127,-2.528720136,6.02
1995_Q3,1.712173982,-2.437905561,5.796666667
1995_Q4,1.90607296,-2.500734952,5.72
1996_Q1,2.044580281,-2.619717515,5.363333333
1996_Q2,1.509908776,-1.693617657,5.243333333
1996_Q3,1.817612034,-1.566335368,5.306666667
1996_Q4,1.689803983,-1.315898294,5.28
1997_Q1,1.967459259,-1.360959691,5.276666667
1997_Q2,1.859937916,-0.682658662,5.523333333
1997_Q3,1.164132414,-0.241236133,5.533333333
1997_Q4,1.37040588,-0.301488768,5.506666667
1998_Q1,0.575847528,-0.161382777,5.52
1998_Q2,0.915960614,-0.048965602,5.5
1998_Q3,1.446957581,0.392707602,5.533333333
1998_Q4,1.047160147,1.161091822,4.86
1999_Q1,1.498524181,1.091457492,4.733333333
1999_Q2,1.673892554,1.041455504,4.746666667
1999_Q3,1.416629123,1.420019257,5.093333333
1999_Q4,1.965307828,2.27399102,5.306666667
2000_Q1,2.973258051,1.649874573,5.676666667
2000_Q2,2.202404415,2.631707635,6.273333333
2000_Q3,2.562751896,1.822807301,6.52
2000_Q4,2.127711371,1.465245435,6.473333333
2001_Q1,2.547493068,0.257715609,5.593333333
2001_Q2,2.800871061,-0.119445208,4.326666667
2001_Q3,1.295117026,-1.320903136,3.496666667
2001_Q4,1.252828391,-1.900180675,2.133333333
2002_Q1,1.172936972,-1.847117181,1.733333333
2002_Q2,1.652462121,-2.134474959,1.75
2002_Q3,1.768263212,-2.461830337,1.74
2002_Q4,2.089103798,-3.173524337,1.443333333
2003_Q1,2.498569744,-3.404618065,1.25
2003_Q2,1.294903926,-3.213675968,1.246666667
2003_Q3,2.169714213,-2.277111956,1.016666667
2003_Q4,1.983159251,-1.785169805,0.996666667
2004_Q1,3.443105205,-1.843168374,1.003333333
2004_Q2,3.363785962,-1.73005915,1.01
2004_Q3,2.619969389,-1.433163007,1.433333333
2004_Q4,2.795232452,-1.18363733,1.95
2005_Q1,3.690749808,-0.731535591,2.47
2005_Q2,2.882478491,-0.811830327,2.943333333
2005_Q3,3.713858152,-0.578090978,3.46
2005_Q4,3.026006775,-0.61538887,3.98
2006_Q1,3.084921266,-0.039857338,4.456666667
2006_Q2,3.295813081,-0.355152442,4.906666667
2006_Q3,2.795251033,-0.872304173,5.246666667
2006_Q4,1.432020997,-0.695011437,5.246666667
2007_Q1,4.469039972,-1.222808771,5.256666667
2007_Q2,2.305010397,-1.040367597,5.25
2007_Q3,1.324884793,-0.924531931,5.073333333
2007_Q4,1.669093071,-1.082746653,4.496666667
2008_Q1,2.29108173,-2.230583353,3.176666667
2008_Q2,1.766389865,-2.186574628,2.086666667
2008_Q3,2.741027481,-3.06020818,1.94
2008_Q4,0.746845481,-5.462634491,0.506666667
2009_Q1,0.961875658,-7.076413893,0.183333333
2009_Q2,-0.623719326,-7.478731632,0.18
2009_Q3,-0.028031115,-7.434186848,0.156666667
2009_Q4,1.205422398,-6.786874948,0.12
2010_Q1,1.333559586,-6.623105104,0.133333333
2010_Q2,1.846453834,-5.960269124,0.193333333
2010_Q3,1.834008378,-5.568984161,0.186666667
2010_Q4,2.046449273,-5.241257699,0.186666667
2011_Q1,1.749654286,-5.883059798,0.156666667
2011_Q2,2.972395004,-5.483848594,0.093333333
2011_Q3,2.326257633,-5.580524109,0.083333333
2011_Q4,0.551219042,-4.825067041,0.073333333
2012_Q1,2.12870382,-4.512414448,0.103333333
2012_Q2,1.776654605,-4.39371686,0.153333333
2012_Q3,2.35204422,-4.613419164,0.143333333
2012_Q4,1.478014534,-4.930726354,0.16
2013_Q1,1.495228296,-4.828401492,0.143333333
2013_Q2,1.098436045,-4.917248402,0.116666667
2013_Q3,1.984525205,-4.578454619,0.083333333
2013_Q4,1.776881871,-4.048920653,0.086666667
2014_Q1,1.467992195,-4.638046781,0.073333333
2014_Q2,2.206896552,-3.943966559,0.093333333
2014_Q3,1.576122481,-3.322303111,0.09
2014_Q4,0.117378426,-3.225342577,0.1
2015_Q1,0.113676992,-3.483640789,0.11
2015_Q2,2.005278979,-3.357171708,0.123333333
